ID X Y
34.52.2.0.1. 977196.197 997399.7302
34.7.9.0.1. 977187.5842 997397.4358
34.71.0.1.0. 977194.6236 997399.607
35.20.18.0.1. 977149.2007 997535.8846
35.31.4.0.1. 977138.501 997545.7563
35.35.0.2.0. 977139.6811 997542.5419
35.37.8.0.1. 977135.7027 997540.2607
35.37.8.0.2. 977135.5605 997540.2032
35.37.8.0.NI1. 977135.6742 997540.1376
35.41.7.0.1. 977134.0344 997544.8377
35.42.12.0.1. 977136.5544 997543.0678
35.45A.45B.0.1.0. 977140.3878 997535.6666
35.47.1.0.1. 977147.079 997535.6728
35.48.2.0.1. 977150.4308 997531.8724
35.50.10.0.1. 977136.6438 997528.1304
35.50.10.0.2. 977136.8969 997528.261
35.54.15.0.1. 977138.1646 997548.2866
35.55.0.3.0. 977137.7667 997544.2432
35.60.11.0.1. 977130.3488 997544.9587
35.62.63.3.0.1. 977138.7044 997534.2516
35.65.16.0.1. 977130.3105 997541.6222
35.67.17.0.1. 977129.0903 997544.0265
35.68.9.0.1. 977134.6485 997532.4923
35.76.13.0.1. 977131.241 997534.7221
35.78.14.0.1. 977150.2223 997530.9373
35.78.14.0.2. 977150.4096 997530.7515
35.8.5.0.1. 977147.2662 997539.1714
35.81.6.0.1. 977139.8472 997545.4116
35.85.0.4.0. 977146.8816 997547.6972
35A.2.1.0.1. 977138.6568 997551.9921
35A.7.2.0.1. 977130.1852 997550.7344
35A.7.2.0.2. 977130.2246 997550.8235
36.11.5.0.1. 977145.3895 997525.6628
36.12.0.6.0. 977150.1068 997520.96
36.13.46.4.0.1. 977149.4184 997522.7407
36.13.46.4.0.2. 977149.4496 997522.9028
36.15.2.0.1. 977147.943 997526.0041
36.15.2.0.2. 977147.8583 997526.0864
36.15.2.0.3. 977147.8444 997525.9988
36.15.2.0.NI1. 977147.9606 997526.09
36.19.9.0.1. 977148.1239 997518.3811
36.2.11.0.1. 977150.5503 997530.8097
36.25.0.7.0. 977137.6017 997527.3653
36.29.0.8.0. 977142.5919 997528.7943
36.3.8.1.0.1. 977149.427 997526.3433
36.37.12.0.1. 977149.9761 997529.0717
36.48.16.0.1. 977145.4448 997526.6601
36.5.13.0.1. 977150.6108 997525.6143
36.5.13.0.2. 977150.7932 997525.4413
36.50.0.2.0. 977144.046 997522.4154
36.52.7.0.1. 977154.0028 997513.2579
36.56.57.10.0.1. 977138.8761 997525.2686
36.56.57.10.0.2. 977138.775 997525.2809
36.58.0.3.0. 977142.7348 997521.1346
36.5A.0.5.0. 977151.3425 997526.7055
36.6.14.0.1. 977147.8816 997528.791
36.61.8.0.1. 977140.7358 997517.1292
36.62.0.1.0. 977149.2455 997511.1097
36.7.0.4.0. 977148.5609 997524.752
36.74.6.0.1. 977142.601 997515.233
36.75.15.0.1. 977150.4009 997528.2292
36.75.15.0.2. 977150.6312 997527.7422
37.1.2.0.1. 977153.9196 997503.8946
37.1.2.0.3. 977155.6369 997503.3886
37.1.2.0.4. 977154.896 997503.9338
37.1.2.0.5. 977155.1791 997502.3873
37.1.2.0.NI1. 977155.2718 997502.913
37.100.3.0.1. 977145.4876 997490.7715
37.106.28.0.1. 977152.9843 997500.587
37.109.27.0.1. 977139.372 997500.3481
37.153.16.0.1. 977153.2489 997492.0698
37.198.30.0.1. 977152.2222 997500.5296
37.2.6.0.1. 977155.0192 997511.1356
37.20.6A.0.1. 977158.8098 997495.3292
37.200.15.0.1. 977151.2515 997501.9051
37.201.18.0.1. 977149.8263 997502.2425
37.203.19.0.1. 977150.2689 997503.2055
37.203.19.0.2. 977150.9678 997503.0356
37.204.20.0.1. 977150.2537 997504.1192
37.219.13.0.1. 977149.1639 997499.1437
37.235.21.0.1. 977150.91 997492.392
37.247.8.0.1. 977148.9787 997491.2248
37.250.10.0.1. 977147.8042 997494.9301
37.251.9.0.1. 977147.7096 997492.6296
37.252.0.7.0. 977149.2496 997497.1085
37.253.12.0.1. 977148.5164 997497.2477
37.257.14.0.1. 977147.2103 997500.9784
37.266.0.6.0. 977144.7793 997503.4092
37.27.0.3.0. 977157.7192 997498.7091
37.273.11.0.1. 977148.4351 997490.4656
37.279.31.0.1. 977145.1464 997492.6642
37.281.0.1.0. 977144.0998 997495.0127
37.284.17.0.1. 977143.2955 997499.9797
37.3.7.0.1. 977151.18 997510.1711
37.305.0.5.0. 977153.1044 997503.546
37.5.5.0.1. 977155.5403 997506.8694
37.68.1.0.1. 977156.2209 997497.3995
37.7.4.0.1. 977154.3338 997506.2924
37.7.4.0.2. 977154.3059 997506.1883
37.80.24.0.1. 977156.0858 997498.0994
37.81.23.0.1. 977155.7739 997498.8115
37.84.22.0.1. 977155.0708 997500.2982
37.85.0.2.0. 977155.5188 997501.2524
