ID X Y
31.9.45.3.12 977185.0558 997467.0706
32.1.5.16 977187.3336 997439.3058
32.10.3.8 977184.0177 997454.5607
32.12.5.16 977171.817 997452.0455
32.14.5.15 977174.5539 997449.7957
32.15.5.15 977173.5623 997453.2904
32.16.5.15 977175.8438 997447.7395
32.2.5.16 977184.656 997441.4592
32.6.5.14 977183.6058 997445.914
32.7.5.15 977188.5078 997453.1755
32.9.5.14 977175.8853 997435.7388
33.49.5.18 977178.9421 997432.4416
33.91.5.18 977193.7873 997418.8855
33.92.5.18 977194.5176 997420.2666
34.162.3.8 977189.9177 997417.2499
34.181.5.19 977188.1703 997416.1445
34.2.5.19 977182.7498 997410.462
34.212.5.16 977195.4798 997406.489
34.228.5.16 977194.2004 997404.8976
34.242.5.16 977194.403 997402.1186
34.264.3.12 977193.1787 997403.8355
34.265.5.19 977199.2598 997405.4416
34.266.5.19 977187.1911 997415.7549
34.267.5.19 977185.2108 997414.9939
34.300.5.19 977186.2886 997399.1997
34.330.5.19 977197.4304 997402.2619
34.35B.5.19 977188.914 997398.8417
34.41.5.15 977193.9316 997398.9362
34.53.5.15 977196.924 997399.0156
35.12.5.16 977143.0266 997539.4953
35.13.6.22 977142.1375 997545.1141
35.14.6.22 977144.6982 997538.5597
35.2.3.8 977145.2598 997550.3111
35.21.3.9 977142.8104 997535.6566
35.28.3.8 977141.7719 997542.9846
35.3.5.15 977131.4008 997531.3023
35.32.3.8 977137.7658 997540.8235
35.34.5.15 977139.9496 997538.8287
35.40.3.12 977144.3179 997529.7828
35.43.3.12 977139.0943 997530.9376
35.44.3.9 977147.3021 997533.0247
35.46.6.22 977146.193 997533.0822
35.49.5.16 977138.2326 997528.1685
35.52.5.16 977143.9616 997538.6498
35.56.3.13 977141.4893 997530.9797
35.58.6.21 977148.2714 997533.4314
35.59.3.8 977134.7441 997528.3722
35.64.6.22 977131.8455 997535.729
35.71.5.14 977133.6111 997534.8793
35.72.6.21 977133.2958 997539.732
35.82.5.15 977141.2393 997532.2337
35.84.5.16 977143.0518 997540.469
35.9.3.8 977145.2732 997546.6249
35A.4.5.19 977135.8736 997552.3198
35A.5.5.15 977132.0566 997552.7797
35A.6.5.16 977135.0141 997550.3201
36.16.5.15 977143.2722 997524.499
36.17.3.12 977141.6448 997526.2896
36.18.3.12 977146.3603 997521.0515
36.21.3.10 977141.6115 997522.9943
36.22.5.15 977133.9177 997525.9272
36.24.5.15 977138.7338 997526.8086
36.27.5.15 977137.5049 997523.1671
36.28.5.19 977137.8095 997523.9884
36.30.3.13 977135.6497 997522.5842
36.32.5.16 977135.2635 997527.1886
36.33.5.19 977155.2591 997513.939
36.34.5.16 977155.1687 997514.782
36.35.3.10 977154.8893 997516.2591
36.36.3.13 977150.444 997528.1664
36.38.5.14 977136.6371 997517.7822
36.39.3.13 977135.9415 997519.4398
36.40.5.16 977149.1738 997528.5725
36.42.3.13 977147.0326 997524.5718
36.42A.3.8 977147.1335 997523.1964
36.42B.5.14 977147.704 997524.4746
36.44.5.16 977150.1962 997514.262
36.51.3.12 977145.3084 997522.2179
36.53.3.8 977153.0791 997512.9545
36.54.5.14 977144.974 997523.1439
36.59.5.19 977144.307 997513.1619
36.60.5.19 977152.7112 997511.811
36.64.5.15 977136.376 997517.1277
36.68.5.19 977142.8748 997513.9334
36.69.5.15 977141.38 997527.8986
36.70.3.13 977135.4158 997512.9494
36.76.5.15 977150.773 997513.2402
37.107.3.13 977152.8947 997500.5776
37.11.5.19 977149.9325 997505.4655
37.116.3.8 977155.5995 997492.3918
37.13.5.19 977156.6415 997502.5431
37.133.6.21 977155.2068 997496.8806
37.135.6.24 977154.9651 997495.6312
37.149.3.11 977155.9531 997493.4755
