ID_original Tipo_de_rasgo ID_resumido Grupo X Y Forma Total_ceramica Total_liticos Total_macrorestos Total_oro Total_fauna Total_volantes
14.34.3.8 Deposito 14.34 4 977209.66 997489.5962 Circular 0 3 7 0 0 0
14.35.3.8 Deposito 14.35 4 977212.8196 997488.2531 Circular 0 0 0 0 0 0
14.36.3.8 Deposito 14.36 4 977214.9629 997496.2756 Circular 0 0 2 0 1 0
14.37.3.8 Deposito 14.37 4 977201.2129 997487.5878 Circular 0 0 0 0 0 0
14.39.6.24 Negativo 14.39 4 977207.6313 997499.0264 Irregular 0 0 0 0 0 0
14.4.5.15 Indefinido 14.4 4 977208.9103 997501.9178 Circular 0 0 0 0 0 0
14.6.5.15 Indefinido 14.6 4 977206.4987 997499.7152 Circular 0 0 0 0 0 0
14.7.5.15 Indefinido 14.7 4 977205.2449 997499.0365 Circular 0 0 0 0 0 0
14.9.3.8 Deposito 14.9 4 977203.19 997495.5082 Circular 0 0 0 0 0 0
15.1.6.24 Negativo 15.1 4 977214.7909 997485.0962 Irregular 0 0 0 0 0 0
15.28.5.15 Indefinido 15.28 4 977213.7947 997479.6614 Circular 0 1 0 0 0 0
15.38.5.19 Indefinido 15.38 4 977219.5578 997480.1242 Irregular 0 0 0 0 0 0
15.39.5.19 Indefinido 15.39 4 977221.1281 997478.9972 Irregular 0 0 0 0 0 0
15.41.5.19 Indefinido 15.41 4 977223.4707 997478.5181 Irregular 0 0 0 0 0 0
15.42.5.19 Indefinido 15.42 4 977222.3658 997477.4058 Irregular 0 0 0 0 0 0
15.43.5.19 Indefinido 15.43 4 977221.2833 997477.933 Irregular 0 0 0 0 0 0
15.44.5.19 Indefinido 15.44 4 977216.3466 997477.501 Irregular 0 0 122 0 0 0
15.45.3.13 Deposito 15.45 4 977215.1109 997476.9369 NA 0 10 0 0 0 0
15.46.6.24 Negativo 15.46 4 977210.2989 997477.4487 Irregular 0 0 0 0 0 0
15.47.5.19 Indefinido 15.47 4 977207.5047 997475.9813 Irregular 0 0 0 0 0 0
15.55.6.21 Negativo 15.55 4 977225.1206 997475.5327 Circular 0 0 0 0 0 0
15.56.5.15 Indefinido 15.56 4 977224.3204 997474.9652 Circular 0 0 0 0 0 0
15.58.6.24 Negativo 15.58 4 977227.8352 997468.4328 Irregular 0 0 0 0 0 0
15.62.3.13 Deposito 15.62 4 977216.3769 997467.679 NA 0 18 0 0 0 0
15.64.5.19 Indefinido 15.64 3 977210.7451 997465.7147 Irregular 0 1 0 0 0 0
15.65.5.19 Indefinido 15.65 3 977208.7254 997466.0562 Irregular 0 0 0 0 0 0
15.66.5.19 Indefinido 15.66 4 977210.0201 997468.5531 Irregular 0 0 0 0 0 0
15.68.5.19 Indefinido 15.68 4 977211.6451 997470.3534 Irregular 0 0 0 0 0 0
16.11.6.24 Negativo 16.11 3 977213.2765 997452.7265 Irregular 0 0 0 0 0 0
16.12.3.8 Deposito 16.12 3 977222.2097 997453.35 Circular 0 1 8 0 0 0
16.14.6.20 Negativo 16.14 3 977227.8451 997450.8847 Rectangular 0 0 0 0 0 0
16.20.5.15 Indefinido 16.2 3 977227.0743 997460.2115 Circular 0 0 0 0 0 0
16.22.5.15 Indefinido 16.22 3 977226.8946 997448.0691 Circular 0 1 0 0 0 0
16.24.5.19 Indefinido 16.24 3 977225.0227 997448.0408 Irregular 0 1 0 0 0 0
16.26.3.8 Deposito 16.26 3 977223.5296 997448.5877 Circular 0 0 1 0 0 0
16.27.5.19 Indefinido 16.27 3 977218.2538 997447.2002 Irregular 0 0 0 0 0 0
16.29.6.21 Negativo 16.29 3 977213.5923 997463.571 Circular 0 1 0 0 0 0
16.31.5.14 Indefinido 16.31 3 977228.2932 997464.0894 Rectangular 0 0 0 0 0 0
16.32.5.19 Indefinido 16.32 3 977224.3609 997463.0905 Irregular 0 0 0 0 0 0
16.4.3.9 Deposito 16.4 3 977226.9137 997457.9167 Oval 0 1 3 0 0 0
16.6.6.21 Negativo 16.6 3 977217.3799 997456.1567 Circular 0 0 0 0 0 0
16.7.6.21 Negativo 16.7 3 977229.1293 997456.5975 Circular 0 0 0 0 0 0
16.8.3.8 Deposito 16.8 3 977221.6892 997455.4272 Circular 0 1 0 0 0 0
16.9.6.21 Negativo 16.9 3 977221.1681 997454.9299 Circular 0 0 0 0 0 0
17.10.5.19 Indefinido 17.1 3 977216.8263 997437.6528 Irregular 0 0 0 0 0 0
17.11.5.16 Indefinido 17.11 3 977216.1254 997436.6331 Oval 0 0 0 0 0 0
17.13.5.15 Indefinido 17.13 3 977215.7729 997438.3254 Circular 0 0 0 0 0 0
17.14.6.24 Negativo 17.14 3 977217.4128 997434.7529 Irregular 0 0 0 0 0 0
17.19.3.12 Deposito 17.19 3 977232.5051 997448.8911 Irregular 0 0 0 0 0 0
17.21.6.21 Negativo 17.21 3 977228.9977 997447.6988 Circular 0 0 0 0 0 0
17.22.5.19 Indefinido 17.22 3 977219.6607 997429.2428 Irregular 0 0 0 0 0 0
17.23.6.24 Negativo 17.23 3 977218.1411 997443.4169 Irregular 0 0 0 0 0 0
17.24.5.15 Indefinido 17.24 3 977214.5516 997443.429 Circular 0 0 0 0 0 0
17.25.5.15 Indefinido 17.25 3 977225.8399 997433.7213 Circular 0 0 0 0 0 0
17.3.3.12 Deposito 17.3 3 977230.9895 997445.9039 Irregular 2 1 1 0 0 0
17.4.3.8 Deposito 17.4 3 977228.9965 997444.4994 Circular 0 1 0 0 0 0
17.5.3.9 Deposito 17.5 3 977230.5485 997440.8216 Oval 0 1 0 0 0 0
17.6.6.24 Negativo 17.6 3 977225.7735 997444.2174 Irregular 0 0 0 0 0 0
17.7.5.15 Indefinido 17.7 3 977224.0704 997434.7191 Circular 0 0 0 0 0 0
17.8.6.24 Negativo 17.8 3 977216.8437 997442.7965 Irregular 0 0 0 0 0 0
17.9.6.24 Negativo 17.9 3 977215.5191 997442.1885 Irregular 0 0 0 0 0 0
18.1.6.20 Negativo 18.1 4 977204.1614 997473.7928 Rectangular 0 0 0 0 0 0
18.11.5.15 Indefinido 18.11 4 977204.9487 997472.3384 Circular 0 1 0 0 0 0
18.15.6.24 Negativo 18.15 4 977200.4963 997471.2888 Irregular 0 0 0 0 0 0
18.18.6.24 Negativo 18.18 4 977196.7197 997470.3491 Irregular 0 0 11 0 0 0
18.19.6.24 Negativo 18.19 4 977203.8423 997468.1543 Irregular 0 0 0 0 0 0
18.20.3.8 Deposito 18.2 4 977199.8333 997467.5497 Circular 0 1 0 0 0 0
18.25.3.8 Deposito 18.25 3 977208.0758 997464.7421 Circular 0 6 2 0 0 0
18.26.6.22 Negativo 18.26 3 977204.4296 997465.794 Oval 0 1 0 0 0 0
