Corte Cuadricula Nivel Tipos_Ceramicos Diametro Forma
4 L8 1 Funza_Cuarzo_Abundante 34 Cuenco
4 L8 1 Funza_Cuarzo_Abundante 10 Olla
4 L8 1 Funza_Cuarzo_Abundante 18 Cuenco
4 L7 1 Desgrasante_Gris 14 Olla
4 L6 1 Desgrasante_Gris 24 Olla
4 L6 1 Desgrasante_Gris 32 Olla
4 L6 1 Funza_Cuarzo_Abundante 24 Olla
4 L5 1 Desgrasante_Gris 26 Olla
4 L5 1 Desgrasante_Gris 24 Olla
4 L5 1 Funza_Cuarzo_Abundante 28 Olla
4 L4 1 Desgrasante_Gris 30 Cuenco
4 L4 1 Desgrasante_Gris 14 Olla
4 L4 1 Funza_Cuarzo_Abundante 14 Olla
4 L3 1 Desgrasante_Gris 44 Olla
4 L3 1 Funza_Cuarzo_Abundante 28 Cuenco
4 K11 2 Zipaquira_Desgrasante_Tiesto 40 Olla
4 K8 2 Tunjuelo_Laminar 36 Olla
4 K8 2 Tunjuelo_Laminar 36 Olla
4 L2 2 Funza_Cuarzo_Abundante 5 Olla
4 K15 2 Funza_Cuarzo_Abundante 30 Olla
4 K9 2 Funza_Cuarzo_Abundante 12 Olla
4 K8 2 Funza_Cuarzo_Abundante 30 Olla
4 L8 2 Tunjuelo_Laminar 30 Olla
4 L8 2 Funza_Cuarzo_Abundante 16 Olla
4 L8 2 Funza_Cuarzo_Abundante 32 Olla
4 L7 2 Desgrasante_Gris 20 Olla
4 L5 2 Funza_Cuarzo_Abundante 24 Olla
4 L5 2 Funza_Cuarzo_Abundante 22 Olla
4 L5 2 Mosquera_Rojo_Inciso 16 Olla
4 L4 2 Desgrasante_Gris 22 Olla
4 L4 2 Funza_Cuarzo_Abundante 26 Olla
4 L3 2 Funza_Cuarzo_Abundante 8 Olla
4 L3 2 Funza_Cuarzo_Abundante 22 Olla
4 K13 3 Funza_Cuarzo_Abundante 28 Cuenco
4 H11 1 Mosquera_Roca_Triturada 26 Cuenco
